Run,Tau,T,A
1,0.22,4.091178625115193,-4.418497421567638
1,10.0,1.1414640221372712,0.05645680905830205
2,0.22,9.319412174594644,9.294055622296616
2,10.0,2.7885535175595275,0.022943764648402917
3,0.22,9.162821883120955,9.527771465929895
3,10.0,2.7470543398288623,0.02329212968451127
4,0.22,5.761581431058276,-1.8221298911570787
4,10.0,1.6483086027218203,0.03894987907014001
5,0.22,5.980031928157833,2.285756492537068
5,10.0,1.7638389356076647,0.036378507928478375
6,0.22,10.10540741328983,5.940515893739407
6,10.0,2.969666549627262,0.021537921807349765
7,0.22,8.544411086050934,-3.8760947877671144
7,10.0,2.398490516745115,0.02669673086629315
8,0.22,2.7446879874709103,-4.31947378489102
8,10.0,0.7649470726550878,0.08475626343119444
9,0.22,5.027810511009827,2.640623970413313
9,10.0,1.4999855264783375,0.04283719757188828
10,0.22,9.994440549529589,-1.5682836381672152
10,10.0,2.838636291082502,0.022536975334867558
11,0.22,6.133919981660046,3.611470776439237
11,10.0,1.8233629091858843,0.035181860139197885
12,0.22,8.402283368123104,-3.396814197831489
12,10.0,2.3658042597786517,0.02706774395746204
13,0.22,8.080111075125595,-1.990368051983877
13,10.0,2.2959922015797614,0.027895761876909033
14,0.22,3.742253507940746,8.114952014486525
14,10.0,1.1924653625878696,0.05401386358330699
15,0.22,5.782010202819287,2.803955143459814
15,10.0,1.7144674908690916,0.037434626257198275
16,0.22,3.7999182671101197,3.8222120813074625
16,10.0,1.1661945718880706,0.055245221747638705
17,0.22,4.329428290236666,2.8436104599575147
17,10.0,1.305252648401007,0.049296555527983774
18,0.22,9.556218296518525,2.161161402639058
18,10.0,2.766957296179669,0.023123733460544693
19,0.22,6.582343511646906,0.6952872496809821
19,10.0,1.9127866011758974,0.03352509325615737
20,0.22,10.075619495444608,2.382196866776537
20,10.0,2.9156600891495725,0.021938763201699556
21,0.22,5.186124099699418,-4.138930673928757
21,10.0,1.4529799517237576,0.044236338886237035
22,0.22,5.116555711440875,5.532452807181777
22,10.0,1.558120362263767,0.04122459484861006
23,0.22,7.978595283407607,-1.5503972870784857
23,10.0,2.273793192857147,0.028169784923681686
24,0.22,4.820299611560273,1.9654559778653828
24,10.0,1.4333875853324562,0.044846871336141715
25,0.22,9.937252909645732,3.356093446944328
25,10.0,2.8895805243637187,0.02213772286220689
26,0.22,8.149581363654042,7.423250385060969
26,10.0,2.436740145694477,0.02627527716767939
27,0.22,3.8189501538253143,-3.926478953226076
27,10.0,1.0727281181436013,0.06012151256362828
28,0.22,7.557420452055796,9.061804196801752
28,10.0,2.288097533620586,0.027992597590350658
29,0.22,7.236388878831223,3.278710708764926
29,10.0,2.1296249354655745,0.03008924569631433
30,0.22,7.637847234466713,1.7075257065477008
30,10.0,2.222426902839726,0.02882494390571674
31,0.22,6.802746454156448,5.189055138367703
31,10.0,2.0306670068761012,0.03156561484917105
32,0.22,5.077703183193359,6.374915518474694
32,10.0,1.5562293039864676,0.04127513076090807
33,0.22,5.626294751976419,3.1457568512927594
33,10.0,1.6747279526847982,0.03833031857119421
34,0.22,3.657693544624011,-4.161238141906202
34,10.0,1.0238393043561334,0.06303161059608851
